table	ˈteɪb(ə)l	n. 桌子，表格
yellow	ˈjeləʊ	a. 黄色的
yes	jes	ad. 是，好，同意
yesterday	ˈjestədeɪ	n.& ad. 昨天
yet	jet	ad. 尚，还，仍然
yield	jiːld	vt.&vi.出产n.产量
yoga		
yoghurt		
you	juː, jʊ	pron. 你；你们
young	jʌŋ	a. 年轻的
youngster		
your	jɔː	pron. 你的；你们的
yours	jɔːz, jʊəz	pron. 你的；你们的
yourself	jɔːˈself; (US) jʊərˈself	pron. 你自己
yourselves	jɔːˈselvz; (US) jʊərˈselvz	pron. 你们自己
youth	juːθ	n.青春;青年们;青年
youthful		
yse		
zeal		
zealous		
zero	ˈzɪərəʊ	n. & num. 零,零度,零点
zigzag		
zip		
zipper		
zone	zəun	n.地区，区域，范围
zoo	zuː	n. 动物园
zoological		
zoology		
zoom		
